ID Persona,Cantidad Acumulada,Cantidad Diaria,ultimo_leido,Fecha
016,3,3,016001433,2024-02-08 14:37
016,4,4,016001434,2024-02-08 14:37
016,0,0,016001403,2024-02-08 14:37
016,2,2,016001436,2024-02-08 14:37
016,3,3,016001433,2024-02-08 14:37
016,4,4,016001434,2024-02-08 14:37
015,0,0,015001096,2024-02-08 14:37
015,2,2,015001108,2024-02-08 14:37
016,5,5,016001406,2024-02-08 14:37
015,0,0,015001096,2024-02-08 14:37
015,3,3,015001106,2024-02-08 14:37
015,2,2,015001108,2024-02-08 14:37
015,4,4,015001098,2024-02-08 14:37
015,3,3,015001106,2024-02-08 14:37
015,5,5,015001099,2024-02-08 14:37
015,4,4,015001098,2024-02-08 14:37
015,5,5,015001099,2024-02-08 14:37
010,0,0,010000268,2024-02-08 14:37
010,2,2,010000273,2024-02-08 14:37
010,0,0,010000268,2024-02-08 14:37
010,2,2,010000273,2024-02-08 14:37
010,3,3,010000285,2024-02-08 14:37
010,3,3,010000271,2024-02-08 14:37
010,4,4,010000285,2024-02-08 14:38
010,5,5,010000284,2024-02-08 14:38
010,4,4,010000269,2024-02-08 14:38
010,6,6,010000272,2024-02-08 14:38
010,5,5,010000287,2024-02-08 14:38
010,7,7,010000269,2024-02-08 14:38
010,6,6,010000286,2024-02-08 14:38
010,8,8,010000287,2024-02-08 14:38
010,9,9,010000286,2024-02-08 14:38
010,10,10,010000283,2024-02-08 14:38
010,7,7,010000277,2024-02-08 14:38
010,11,11,010000280,2024-02-08 14:38
010,8,8,010000276,2024-02-08 14:38
010,12,12,010000277,2024-02-08 14:38
010,9,9,010000279,2024-02-08 14:38
010,13,13,010000276,2024-02-08 14:38
010,14,14,010000279,2024-02-08 14:38
010,10,10,010000278,2024-02-08 14:38
010,15,15,010000274,2024-02-08 14:38
010,16,16,010000278,2024-02-08 14:38
069,0,0,069000129,2024-02-08 14:38
010,11,11,010000282,2024-02-08 14:38
069,0,0,069000129,2024-02-08 14:38
058,0,0,058000602,2024-02-08 14:38
010,17,17,010000282,2024-02-08 14:38
058,2,2,058000604,2024-02-08 14:38
058,0,0,058000602,2024-02-08 14:38
058,3,3,058000617,2024-02-08 14:38
058,2,2,058000604,2024-02-08 14:38
058,4,4,058000601,2024-02-08 14:38
058,3,3,058000617,2024-02-08 14:38
058,5,5,058000603,2024-02-08 14:38
058,4,4,058000601,2024-02-08 14:38
028,0,0,028000504,2024-02-08 14:38
058,5,5,058000603,2024-02-08 14:38
028,2,2,028000496,2024-02-08 14:38
028,3,3,028000494,2024-02-08 14:38
028,0,0,028000496,2024-02-08 14:38
028,2,2,028000494,2024-02-08 14:38
010,12,12,010000281,2024-02-08 14:38
033,0,0,033001379,2024-02-08 14:38
010,18,18,010000281,2024-02-08 14:38
033,0,0,033001359,2024-02-08 14:38
033,2,2,033001367,2024-02-08 14:38
033,2,2,033001359,2024-02-08 14:38
033,3,3,033001360,2024-02-08 14:38
033,3,3,033001367,2024-02-08 14:38
033,4,4,033001362,2024-02-08 14:38
033,4,4,033001360,2024-02-08 14:38
033,5,5,033001363,2024-02-08 14:39
033,5,5,033001363,2024-02-08 14:39
033,6,6,033001364,2024-02-08 14:39
030,0,0,030000841,2024-02-08 14:39
033,6,6,033001368,2024-02-08 14:39
030,0,0,030000841,2024-02-08 14:39
033,7,7,033001366,2024-02-08 14:39
033,7,7,033001368,2024-02-08 14:39
032,0,0,032001758,2024-02-08 14:39
033,8,8,033001366,2024-02-08 14:39
032,2,2,032001749,2024-02-08 14:39
032,0,0,032001758,2024-02-08 14:39
071,0,0,071000439,2024-02-08 14:39
032,2,2,032001749,2024-02-08 14:39
031,0,0,031000961,2024-02-08 14:39
071,0,0,071000439,2024-02-08 14:39
071,2,2,071000474,2024-02-08 14:39
031,0,0,031000961,2024-02-08 14:39
071,3,3,071000438,2024-02-08 14:39
071,2,2,071000474,2024-02-08 14:39
031,2,2,031000685,2024-02-08 14:39
071,3,3,071000438,2024-02-08 14:39
071,4,4,071000480,2024-02-08 14:39
031,2,2,031000685,2024-02-08 14:39
071,4,4,071000480,2024-02-08 14:39
031,3,3,031000681,2024-02-08 14:39
071,5,5,071000481,2024-02-08 14:39
031,3,3,031000681,2024-02-08 14:39
071,6,6,071000475,2024-02-08 14:39
066,0,0,066000852,2024-02-08 14:39
071,7,7,071000477,2024-02-08 14:39
066,0,0,066000852,2024-02-08 14:39
007,0,0,007001068,2024-02-08 14:39
064,0,0,064000895,2024-02-08 14:39
064,0,0,064000598,2024-02-08 14:39
007,0,0,007001068,2024-02-08 14:39
007,2,2,007001065,2024-02-08 14:39
007,3,3,007001061,2024-02-08 14:39
007,2,2,007001065,2024-02-08 14:39
007,4,4,007001012,2024-02-08 14:39
007,3,3,007001061,2024-02-08 14:39
062,0,0,062000258,2024-02-08 14:39
007,4,4,007001012,2024-02-08 14:39
062,2,2,062000255,2024-02-08 14:39
062,0,0,062000258,2024-02-08 14:39
062,2,2,062000255,2024-02-08 14:39
008,0,0,008000563,2024-02-08 14:39
008,0,0,008000563,2024-02-08 14:39
008,2,2,008000565,2024-02-08 14:39
008,2,2,008000572,2024-02-08 14:39
008,3,3,008000572,2024-02-08 14:39
062,3,3,062000243,2024-02-08 14:39
062,3,3,062000252,2024-02-08 14:39
009,0,0,009000193,2024-02-08 14:39
009,0,0,009000193,2024-02-08 14:39
001,0,0,001001446,2024-02-08 14:39
001,0,0,001001445,2024-02-08 14:39
001,2,2,001001447,2024-02-08 14:39
001,2,2,001001446,2024-02-08 14:39
001,3,3,001001442,2024-02-08 14:40
001,3,3,001001447,2024-02-08 14:40
001,4,4,001001443,2024-02-08 14:40
001,4,4,001001442,2024-02-08 14:40
001,5,5,001001443,2024-02-08 14:40
001,5,5,001001440,2024-02-08 14:40
001,6,6,001001439,2024-02-08 14:40
001,6,6,001001444,2024-02-08 14:40
001,7,7,001001440,2024-02-08 14:40
001,8,8,001001444,2024-02-08 14:40
001,7,7,001001441,2024-02-08 14:40
009,2,2,009000190,2024-02-08 14:40
009,3,3,009000195,2024-02-08 14:40
001,9,9,001001441,2024-02-08 14:40
009,2,2,009000190,2024-02-08 14:40
009,3,3,009000195,2024-02-08 14:40
009,4,4,009000178,2024-02-08 14:40
001,8,8,001001427,2024-02-08 14:40
009,4,4,009000178,2024-02-08 14:40
001,10,10,001001427,2024-02-08 14:40
001,9,9,001001431,2024-02-08 14:40
009,5,5,009000184,2024-02-08 14:40
001,11,11,001001431,2024-02-08 14:40
001,10,10,001001432,2024-02-08 14:40
001,11,11,001001436,2024-02-08 14:40
001,12,12,001001432,2024-02-08 14:40
001,13,13,001001436,2024-02-08 14:40
074,5,5,074000587,2024-02-08 14:40
074,6,6,074000587,2024-02-08 14:40
001,12,12,001001437,2024-02-08 14:40
074,7,7,074000583,2024-02-08 14:40
077,3,3,077000285,2024-02-08 14:40
001,14,14,001001437,2024-02-08 14:40
001,13,13,001001438,2024-02-08 14:40
077,3,3,077000285,2024-02-08 14:40
032,3,3,032001766,2024-02-08 14:40
001,15,15,001001438,2024-02-08 14:40
009,6,6,009000179,2024-02-08 14:40
032,3,3,032001766,2024-02-08 14:40
009,7,7,009000185,2024-02-08 14:40
009,5,5,009000179,2024-02-08 14:40
009,8,8,009000183,2024-02-08 14:40
009,6,6,009000185,2024-02-08 14:40
009,7,7,009000183,2024-02-08 14:40
071,5,5,071000478,2024-02-08 14:40
009,8,8,009000187,2024-02-08 14:40
009,9,9,009000186,2024-02-08 14:40
071,8,8,071000478,2024-02-08 14:40
009,10,10,009000189,2024-02-08 14:40
009,9,9,009000186,2024-02-08 14:40
009,11,11,009000191,2024-02-08 14:40
009,10,10,009000189,2024-02-08 14:40
009,11,11,009000191,2024-02-08 14:40
009,12,12,009000192,2024-02-08 14:40
009,12,12,009000192,2024-02-08 14:40
071,6,6,071000511,2024-02-08 14:40
009,13,13,009000177,2024-02-08 14:40
071,9,9,071000511,2024-02-08 14:40
007,5,5,007001093,2024-02-08 14:40
008,4,4,008000561,2024-02-08 14:41
007,5,5,007001093,2024-02-08 14:41
007,6,6,007001090,2024-02-08 14:41
007,6,6,007001090,2024-02-08 14:41
007,7,7,007001095,2024-02-08 14:41
007,8,8,007001062,2024-02-08 14:41
007,7,7,007001095,2024-02-08 14:41
008,3,3,008000564,2024-02-08 14:41
007,8,8,007001062,2024-02-08 14:41
008,4,4,008000571,2024-02-08 14:41
008,5,5,008000564,2024-02-08 14:41
008,6,6,008000571,2024-02-08 14:41
007,9,9,007001096,2024-02-08 14:41
008,7,7,008000557,2024-02-08 14:41
062,4,4,062000297,2024-02-08 14:41
007,9,9,007001089,2024-02-08 14:41
064,2,2,064000888,2024-02-08 14:41
062,4,4,062000297,2024-02-08 14:41
007,10,10,007001089,2024-02-08 14:41
062,5,5,062000294,2024-02-08 14:41
008,8,8,008000574,2024-02-08 14:41
009,13,13,009000180,2024-02-08 14:41
009,14,14,009000180,2024-02-08 14:41
033,8,8,033001377,2024-02-08 14:41
062,5,5,062000273,2024-02-08 14:41
007,10,10,007001080,2024-02-08 14:41
033,9,9,033001377,2024-02-08 14:41
033,9,9,033001372,2024-02-08 14:41
007,11,11,007001088,2024-02-08 14:41
007,12,12,007001080,2024-02-08 14:41
007,11,11,007001091,2024-02-08 14:41
033,10,10,033001372,2024-02-08 14:41
007,12,12,007001086,2024-02-08 14:41
007,13,13,007001091,2024-02-08 14:41
007,13,13,007001064,2024-02-08 14:41
007,14,14,007001086,2024-02-08 14:41
007,14,14,007001077,2024-02-08 14:41
007,15,15,007001064,2024-02-08 14:41
036,7,7,036001151,2024-02-08 14:41
007,16,16,007001077,2024-02-08 14:41
036,6,6,036001151,2024-02-08 14:41
007,15,15,007001066,2024-02-08 14:41
007,17,17,007001066,2024-02-08 14:41
007,16,16,007001063,2024-02-08 14:41
007,18,18,007001063,2024-02-08 14:41
030,2,2,030000820,2024-02-08 14:41
062,6,6,062000291,2024-02-08 14:41
062,6,6,062000285,2024-02-08 14:41
030,2,2,030000820,2024-02-08 14:41
069,2,2,069000126,2024-02-08 14:41
008,5,5,008000560,2024-02-08 14:41
069,2,2,069000126,2024-02-08 14:41
069,3,3,069000114,2024-02-08 14:41
008,9,9,008000560,2024-02-08 14:42
031,4,4,031000969,2024-02-08 14:42
069,3,3,069000114,2024-02-08 14:42
033,10,10,033001375,2024-02-08 14:42
031,4,4,031000969,2024-02-08 14:42
031,5,5,031000949,2024-02-08 14:42
033,11,11,033001375,2024-02-08 14:42
031,6,6,031000946,2024-02-08 14:42
031,5,5,031000949,2024-02-08 14:42
031,7,7,031000955,2024-02-08 14:42
031,6,6,031000946,2024-02-08 14:42
033,12,12,033001380,2024-02-08 14:42
064,2,2,064000885,2024-02-08 14:42
031,7,7,031000955,2024-02-08 14:42
030,3,3,030000830,2024-02-08 14:42
030,3,3,030000830,2024-02-08 14:42
064,3,3,064000891,2024-02-08 14:42
064,3,3,064000886,2024-02-08 14:42
069,4,4,069000124,2024-02-08 14:42
064,4,4,064000891,2024-02-08 14:42
036,8,8,036001145,2024-02-08 14:42
069,4,4,069000124,2024-02-08 14:42
064,4,4,064000887,2024-02-08 14:42
036,7,7,036001145,2024-02-08 14:42
030,4,4,030000843,2024-02-08 14:42
064,5,5,064000887,2024-02-08 14:42
071,7,7,071000509,2024-02-08 14:42
030,4,4,030000843,2024-02-08 14:42
071,8,8,071000441,2024-02-08 14:42
064,6,6,064000890,2024-02-08 14:42
071,9,9,071000510,2024-02-08 14:42
071,10,10,071000509,2024-02-08 14:42
064,5,5,064000892,2024-02-08 14:42
071,11,11,071000441,2024-02-08 14:42
064,6,6,064000894,2024-02-08 14:42
071,12,12,071000510,2024-02-08 14:42
033,11,11,033001378,2024-02-08 14:42
064,7,7,064000896,2024-02-08 14:42
008,10,10,008000562,2024-02-08 14:42
030,5,5,030000842,2024-02-08 14:42
064,7,7,064000894,2024-02-08 14:42
064,8,8,064000897,2024-02-08 14:42
033,13,13,033001378,2024-02-08 14:42
064,8,8,064000896,2024-02-08 14:42
030,5,5,030000842,2024-02-08 14:42
064,9,9,064000897,2024-02-08 14:42
071,10,10,071000436,2024-02-08 14:42
071,13,13,071000440,2024-02-08 14:42
071,11,11,071000442,2024-02-08 14:42
071,14,14,071000436,2024-02-08 14:42
071,15,15,071000507,2024-02-08 14:42
031,8,8,031000682,2024-02-08 14:42
071,16,16,071000442,2024-02-08 14:42
069,5,5,069000135,2024-02-08 14:42
031,8,8,031000682,2024-02-08 14:42
033,14,14,033001374,2024-02-08 14:42
069,5,5,069000135,2024-02-08 14:42
030,6,6,030000833,2024-02-08 14:42
033,12,12,033001369,2024-02-08 14:42
030,6,6,030000833,2024-02-08 14:42
033,13,13,033001371,2024-02-08 14:42
033,15,15,033001369,2024-02-08 14:42
069,6,6,069000109,2024-02-08 14:43
069,7,7,069000125,2024-02-08 14:43
069,8,8,069000115,2024-02-08 14:43
069,6,6,069000109,2024-02-08 14:43
069,7,7,069000121,2024-02-08 14:43
069,8,8,069000125,2024-02-08 14:43
069,9,9,069000117,2024-02-08 14:43
069,9,9,069000115,2024-02-08 14:43
030,7,7,030000836,2024-02-08 14:43
069,10,10,069000117,2024-02-08 14:43
030,7,7,030000836,2024-02-08 14:43
069,11,11,069000113,2024-02-08 14:43
069,10,10,069000112,2024-02-08 14:43
030,8,8,030000835,2024-02-08 14:43
069,11,11,069000138,2024-02-08 14:43
069,12,12,069000138,2024-02-08 14:43
069,12,12,069000119,2024-02-08 14:43
069,13,13,069000119,2024-02-08 14:43
008,6,6,008000559,2024-02-08 14:43
069,14,14,069000118,2024-02-08 14:43
069,13,13,069000127,2024-02-08 14:43
008,11,11,008000559,2024-02-08 14:43
077,4,4,077000293,2024-02-08 14:43
077,5,5,077000174,2024-02-08 14:43
077,4,4,077000293,2024-02-08 14:43
077,5,5,077000174,2024-02-08 14:43
077,6,6,077000286,2024-02-08 14:43
077,7,7,077000288,2024-02-08 14:43
077,6,6,077000286,2024-02-08 14:43
077,8,8,077000281,2024-02-08 14:43
077,7,7,077000288,2024-02-08 14:43
077,8,8,077000281,2024-02-08 14:43
074,6,6,074000588,2024-02-08 14:43
032,4,4,032001846,2024-02-08 14:43
074,8,8,074000588,2024-02-08 14:43
032,5,5,032001763,2024-02-08 14:43
032,4,4,032001846,2024-02-08 14:43
079,0,0,079000031,2024-02-08 14:43
032,5,5,032001763,2024-02-08 14:43
008,7,7,008000555,2024-02-08 14:43
079,0,0,079000031,2024-02-08 14:43
008,12,12,008000555,2024-02-08 14:43
059,3,3,059000696,2024-02-08 14:43
064,10,10,064000883,2024-02-08 14:43
077,9,9,077000084,2024-02-08 14:43
059,5,5,059000696,2024-02-08 14:43
059,4,4,059000697,2024-02-08 14:43
077,9,9,077000084,2024-02-08 14:43
059,6,6,059000697,2024-02-08 14:43
059,5,5,059000699,2024-02-08 14:43
028,4,4,028000962,2024-02-08 14:44
059,6,6,059000687,2024-02-08 14:44
066,2,2,066000867,2024-02-08 14:44
059,7,7,059000700,2024-02-08 14:44
059,7,7,059000699,2024-02-08 14:44
028,3,3,028000962,2024-02-08 14:44
059,8,8,059000687,2024-02-08 14:44
066,2,2,066000867,2024-02-08 14:44
059,9,9,059000700,2024-02-08 14:44
066,3,3,066000859,2024-02-08 14:44
066,3,3,066000857,2024-02-08 14:44
066,4,4,066000853,2024-02-08 14:44
066,5,5,066000860,2024-02-08 14:44
060,6,6,060001111,2024-02-08 14:44
066,6,6,066000851,2024-02-08 14:44
060,7,7,060001116,2024-02-08 14:44
059,8,8,059000698,2024-02-08 14:44
028,5,5,028000502,2024-02-08 14:44
066,7,7,066000854,2024-02-08 14:44
066,8,8,066000861,2024-02-08 14:44
066,4,4,066000853,2024-02-08 14:44
066,5,5,066000860,2024-02-08 14:44
060,6,6,060001111,2024-02-08 14:44
066,9,9,066000850,2024-02-08 14:44
031,9,9,031000678,2024-02-08 14:44
028,6,6,028000485,2024-02-08 14:44
066,6,6,066000851,2024-02-08 14:44
060,8,8,060001112,2024-02-08 14:44
059,9,9,059000690,2024-02-08 14:44
032,6,6,032001757,2024-02-08 14:44
066,7,7,066000856,2024-02-08 14:44
059,10,10,059000675,2024-02-08 14:44
060,9,9,060001130,2024-02-08 14:44
032,7,7,032001754,2024-02-08 14:44
060,7,7,060001116,2024-02-08 14:44
059,11,11,059000698,2024-02-08 14:44
028,4,4,028000502,2024-02-08 14:44
059,10,10,059000684,2024-02-08 14:44
079,2,2,079000007,2024-02-08 14:44
066,8,8,066000854,2024-02-08 14:44
066,9,9,066000861,2024-02-08 14:44
059,11,11,059000672,2024-02-08 14:44
066,10,10,066000850,2024-02-08 14:44
031,9,9,031000678,2024-02-08 14:44
028,5,5,028000485,2024-02-08 14:44
060,8,8,060001112,2024-02-08 14:44
059,12,12,059000690,2024-02-08 14:44
032,6,6,032001769,2024-02-08 14:44
059,12,12,059000673,2024-02-08 14:44
066,10,10,066000870,2024-02-08 14:45
032,7,7,032001757,2024-02-08 14:45
032,8,8,032001765,2024-02-08 14:45
028,7,7,028000509,2024-02-08 14:45
028,8,8,028000493,2024-02-08 14:45
058,6,6,058000608,2024-02-08 14:45
032,8,8,032001759,2024-02-08 14:45
060,9,9,060001130,2024-02-08 14:45
028,9,9,028000501,2024-02-08 14:45
032,9,9,032001754,2024-02-08 14:45
058,7,7,058000606,2024-02-08 14:45
058,8,8,058000607,2024-02-08 14:45
028,10,10,028000507,2024-02-08 14:45
058,9,9,058000605,2024-02-08 14:45
058,10,10,058000610,2024-02-08 14:45
059,13,13,059000684,2024-02-08 14:45
060,10,10,060001118,2024-02-08 14:45
079,2,2,079000007,2024-02-08 14:45
059,14,14,059000672,2024-02-08 14:45
060,11,11,060001115,2024-02-08 14:45
059,15,15,059000673,2024-02-08 14:45
066,11,11,066000870,2024-02-08 14:45
060,10,10,060001114,2024-02-08 14:45
032,10,10,032001765,2024-02-08 14:45
028,6,6,028000509,2024-02-08 14:45
028,7,7,028000493,2024-02-08 14:45
058,6,6,058000608,2024-02-08 14:45
028,8,8,028000501,2024-02-08 14:45
058,7,7,058000606,2024-02-08 14:45
058,8,8,058000607,2024-02-08 14:45
060,11,11,060001119,2024-02-08 14:45
028,9,9,028000507,2024-02-08 14:45
058,9,9,058000605,2024-02-08 14:45
058,10,10,058000610,2024-02-08 14:45
059,16,16,059000689,2024-02-08 14:45
060,12,12,060001114,2024-02-08 14:45
060,13,13,060001119,2024-02-08 14:45
028,11,11,028000497,2024-02-08 14:45
030,9,9,030000821,2024-02-08 14:45
028,10,10,028000497,2024-02-08 14:45
028,12,12,028000506,2024-02-08 14:45
060,12,12,060001124,2024-02-08 14:45
066,12,12,066000862,2024-02-08 14:45
059,13,13,059000668,2024-02-08 14:45
059,14,14,059000702,2024-02-08 14:45
060,13,13,060001117,2024-02-08 14:45
059,17,17,059000668,2024-02-08 14:45
059,18,18,059000702,2024-02-08 14:45
060,14,14,060001117,2024-02-08 14:45
028,13,13,028000503,2024-02-08 14:45
060,15,15,060001113,2024-02-08 14:45
032,9,9,032001742,2024-02-08 14:45
028,11,11,028000503,2024-02-08 14:45
032,11,11,032001742,2024-02-08 14:45
064,11,11,064000880,2024-02-08 14:45
028,14,14,028000955,2024-02-08 14:45
059,15,15,059000657,2024-02-08 14:45
031,10,10,031000958,2024-02-08 14:45
028,12,12,028000955,2024-02-08 14:45
060,14,14,060001123,2024-02-08 14:45
059,19,19,059000657,2024-02-08 14:45
060,15,15,060001120,2024-02-08 14:45
028,15,15,028000959,2024-02-08 14:45
031,10,10,031000958,2024-02-08 14:45
079,3,3,079000009,2024-02-08 14:45
060,16,16,060001123,2024-02-08 14:45
060,17,17,060001120,2024-02-08 14:45
028,13,13,028000959,2024-02-08 14:45
079,4,4,079000008,2024-02-08 14:45
079,3,3,079000009,2024-02-08 14:45
079,4,4,079000008,2024-02-08 14:45
074,7,7,074000590,2024-02-08 14:46
074,8,8,074000589,2024-02-08 14:46
074,9,9,074000590,2024-02-08 14:46
066,11,11,066000863,2024-02-08 14:46
074,10,10,074000589,2024-02-08 14:46
066,13,13,066000863,2024-02-08 14:46
079,5,5,079000179,2024-02-08 14:46
079,5,5,079000004,2024-02-08 14:46
074,9,9,074000579,2024-02-08 14:46
079,6,6,079000004,2024-02-08 14:46
074,10,10,074000584,2024-02-08 14:46
074,11,11,074000579,2024-02-08 14:46
074,12,12,074000584,2024-02-08 14:46
030,8,8,030000875,2024-02-08 14:46
030,10,10,030000875,2024-02-08 14:46
012,4,4,012001147,2024-02-08 14:46
012,5,5,012001159,2024-02-08 14:46
012,6,6,012001147,2024-02-08 14:46
012,7,7,012001159,2024-02-08 14:46
012,6,6,012001144,2024-02-08 14:46
012,8,8,012001144,2024-02-08 14:46
012,9,9,012001132,2024-02-08 14:46
012,10,10,012001129,2024-02-08 14:46
012,7,7,012001138,2024-02-08 14:46
012,11,11,012001138,2024-02-08 14:46
012,12,12,012001135,2024-02-08 14:46
074,11,11,074000573,2024-02-08 14:46
012,13,13,012001141,2024-02-08 14:46
074,12,12,074000575,2024-02-08 14:46
079,6,6,079000005,2024-02-08 14:46
074,13,13,074000575,2024-02-08 14:46
074,13,13,074000574,2024-02-08 14:46
079,7,7,079000005,2024-02-08 14:46
074,14,14,074000574,2024-02-08 14:46
079,7,7,079000001,2024-02-08 14:46
073,0,0,073000471,2024-02-08 14:46
079,8,8,079000001,2024-02-08 14:46
074,14,14,074000577,2024-02-08 14:46
073,0,0,073000471,2024-02-08 14:46
074,15,15,074000572,2024-02-08 14:46
074,15,15,074000577,2024-02-08 14:46
073,2,2,073000380,2024-02-08 14:46
074,16,16,074000572,2024-02-08 14:46
073,2,2,073000380,2024-02-08 14:46
073,3,3,073000424,2024-02-08 14:46
032,10,10,032001752,2024-02-08 14:46
077,10,10,077000294,2024-02-08 14:46
079,8,8,079000010,2024-02-08 14:46
073,3,3,073000369,2024-02-08 14:46
032,12,12,032001752,2024-02-08 14:46
077,10,10,077000297,2024-02-08 14:46
077,11,11,077000294,2024-02-08 14:46
079,9,9,079000010,2024-02-08 14:46
073,4,4,073000366,2024-02-08 14:46
073,4,4,073000369,2024-02-08 14:46
078,0,0,078000290,2024-02-08 14:46
073,5,5,073000366,2024-02-08 14:46
073,5,5,073000393,2024-02-08 14:47
078,0,0,078000290,2024-02-08 14:47
073,6,6,073000393,2024-02-08 14:47
073,6,6,073000360,2024-02-08 14:47
078,2,2,078000280,2024-02-08 14:47
073,7,7,073000363,2024-02-08 14:47
073,7,7,073000360,2024-02-08 14:47
079,9,9,079000011,2024-02-08 14:47
073,8,8,073000363,2024-02-08 14:47
079,10,10,079000011,2024-02-08 14:47
073,8,8,073000372,2024-02-08 14:47
073,9,9,073000357,2024-02-08 14:47
073,9,9,073000372,2024-02-08 14:47
079,10,10,079000017,2024-02-08 14:47
073,10,10,073000357,2024-02-08 14:47
078,2,2,078000286,2024-02-08 14:47
079,11,11,079000017,2024-02-08 14:47
073,10,10,073000354,2024-02-08 14:47
078,3,3,078000286,2024-02-08 14:47
073,11,11,073000354,2024-02-08 14:47
079,11,11,079000014,2024-02-08 14:47
058,11,11,058000613,2024-02-08 14:47
079,12,12,079000014,2024-02-08 14:47
058,11,11,058000613,2024-02-08 14:47
073,11,11,073000521,2024-02-08 14:47
073,12,12,073000387,2024-02-08 14:47
032,11,11,032001739,2024-02-08 14:47
073,13,13,073000521,2024-02-08 14:47
032,13,13,032001739,2024-02-08 14:47
031,11,11,031000960,2024-02-08 14:47
078,3,3,078000238,2024-02-08 14:47
073,12,12,073000350,2024-02-08 14:47
078,4,4,078000238,2024-02-08 14:47
073,14,14,073000350,2024-02-08 14:47
016,5,5,016001416,2024-02-08 14:47
078,4,4,078000287,2024-02-08 14:47
016,6,6,016001416,2024-02-08 14:47
078,5,5,078000287,2024-02-08 14:47
030,11,11,030000879,2024-02-08 14:47
016,7,7,016001421,2024-02-08 14:47
036,9,9,036001150,2024-02-08 14:47
036,10,10,036001148,2024-02-08 14:47
036,8,8,036001148,2024-02-08 14:47
016,6,6,016001422,2024-02-08 14:47
016,8,8,016001414,2024-02-08 14:47
016,9,9,016001422,2024-02-08 14:47
036,11,11,036001139,2024-02-08 14:47
036,9,9,036001139,2024-02-08 14:47
016,7,7,016001419,2024-02-08 14:47
016,10,10,016001419,2024-02-08 14:47
016,11,11,016001411,2024-02-08 14:48
032,14,14,032001746,2024-02-08 14:48
066,12,12,066000871,2024-02-08 14:48
016,12,12,016001429,2024-02-08 14:48
066,14,14,066000871,2024-02-08 14:48
016,8,8,016001431,2024-02-08 14:48
